ID,DATEKEY,TRANSACTION_ID,CUSTOMER_ID,STORE_ID,PROMOTION_ID,CATEGORY_ID,PRODUCT_ID,TRANSACTION_TIME,QUANTITY,TOTAL_AMOUNT,TIME_HOUR
2001,20230718,2001,7,5,14,304,130205,15:22:17,2,90.0,15
2002,20230805,2002,94,2,1,204,20304,14:31:28,1,999.0,14
2002,20230805,2002,94,2,1,204,20204,14:31:28,1,25.0,14
2002,20230805,2002,94,2,1,204,120104,14:31:28,1,549.0,14
2002,20230805,2002,94,2,1,204,120101,14:31:28,3,2997.0,14
2003,20230726,2003,99,2,17,304,30104,22:34:17,2,80.0,22
2004,20231215,2004,127,5,10,503,50202,15:02:03,3,105.0,15
2005,20230403,2005,144,4,21,304,30205,16:45:59,1,45.0,16
2005,20230403,2005,144,4,21,304,130205,16:45:59,2,90.0,16
2005,20230403,2005,144,4,21,304,130206,16:45:59,1,40.0,16
2005,20230403,2005,144,4,21,304,130203,16:45:59,1,35.0,16
2006,20231221,2006,79,3,14,204,20303,05:50:23,1,1299.0,5
2006,20231221,2006,79,3,14,204,20204,05:50:23,1,25.0,5
2007,20230511,2007,167,5,23,105,10301,06:17:42,3,4.5,6
2007,20230511,2007,167,5,23,105,110404,06:17:42,1,1.5,6
2007,20230511,2007,167,5,23,105,110401,06:17:42,1,3.0,6
2007,20230511,2007,167,5,23,105,110102,06:17:42,3,12.0,6
2007,20230511,2007,167,5,23,105,10302,06:17:42,1,3.0,6
2007,20230511,2007,167,5,23,105,10402,06:17:42,3,7.5,6
2008,20231210,2008,2,1,11,503,50101,18:57:58,3,300.0,18
2008,20231210,2008,2,1,11,503,150101,18:57:58,2,200.0,18
2009,20230406,2009,28,1,3,603,60103,17:56:17,2,40.0,17
2009,20230406,2009,28,1,3,603,160303,17:56:17,3,60.0,17
2010,20230205,2010,153,4,2,603,60102,06:19:58,1,15.0,6
2010,20230205,2010,153,4,2,603,60101,06:19:58,1,30.0,6
2011,20230122,2011,41,4,1,703,70204,13:36:30,3,90.0,13
2012,20231017,2012,190,3,14,105,110202,10:23:42,3,30.0,10
2012,20231017,2012,190,3,14,105,10301,10:23:42,1,1.5,10
2012,20231017,2012,190,3,14,105,10107,10:23:42,1,4.0,10
2012,20231017,2012,190,3,14,105,10404,10:23:42,3,4.5,10
2012,20231017,2012,190,3,14,105,110103,10:23:42,1,3.0,10
2013,20230208,2013,7,5,2,503,150201,11:59:52,1,20.0,11
2013,20230208,2013,7,5,2,503,150103,11:59:52,1,50.0,11
2014,20231029,2014,92,3,16,105,110202,23:36:24,2,20.0,23
2014,20231029,2014,92,3,16,105,10301,23:36:24,3,4.5,23
